Tissue,SIDM,cell_line_name
Lung,SIDM00768,NCI-H1869
Lung,SIDM00137,NCI-H3122
Testis,SIDM01203,NTERA-2-CL-D1
Soft_tissue,SIDM01109,SK-LMS-1
Soft_tissue,SIDM01175,SW684
Thyroid,SIDM00484,TT
Thyroid,SIDM00997,8305C
Cervix,SIDM00923,CA-SKI
Lung,SIDM00506,COR-L88
Lymphoid,SIDM01259,GR-ST
Lung,SIDM00224,IST-MES1
Thyroid,SIDM00056,K5
Lymphoid,SIDM01008,KARPAS-422
Lymphoid,SIDM00441,ML-2
Lung,SIDM01131,NCI-H82
Bone,SIDM00202,EW-3
Breast,SIDM01056,EFM-19
Head_neck,SIDM00517,NCI-H3118
Breast,SIDM00673,HCC70
Soft_tissue,SIDM00667,HS-633T
Ovary,SIDM00302,KGN
Esophagus,SIDM01029,KYSE-270
Lymphoid,SIDM00312,L-363
Esophagus,SIDM00347,TE-5
Esophagus,SIDM00325,TE-9
Lymphoid,SIDM00958,CML-T1
Bone,SIDM00199,CS1
Lung,SIDM01069,HCC-44
Bone,SIDM00806,HOS
Lymphoid,SIDM00549,LC4-1
Lung,SIDM00743,NCI-H1666
Lung,SIDM00708,NCI-H2087
CNS,SIDM00567,ONS-76
CNS,SIDM00083,SF539
Endometrium,SIDM00373,SNG-M
Bladder,SIDM00420,SW1710
Lung,SIDM00547,LU-65
Large_intestine,SIDM00487,CCK-81
Head_neck,SIDM00540,DOK
Bone,SIDM00261,ES8
Lung,SIDM00102,NCI-H2461
Lymphoid,SIDM00289,HAL-01
Head_neck,SIDM00591,HO-1-U-1
Biliary_tract,SIDM00587,HUCCT1
Esophagus,SIDM00551,KYSE-220
Bladder,SIDM00181,LB831-BLC
Lung,SIDM00744,NCI-H1651
Lung,SIDM00704,NCI-H211
Ovary,SIDM00220,OC-314
Biliary_tract,SIDM00252,TGBC1TKB
Breast,SIDM00928,CAL-85-1
Skin,SIDM00543,GAK
Thyroid,SIDM00600,IHH-4
Breast,SIDM00629,MDA-MB-436
Breast,SIDM00628,MDA-MB-468
Breast,SIDM00892,BT-483
CNS,SIDM00852,H4
Soft_tissue,SIDM00552,KYM-1
Esophagus,SIDM00477,OE33
Large_intestine,SIDM01090,RKO
Bladder,SIDM00402,RT-112
Cervix,SIDM00234,TC-YIK
CNS,SIDM00732,D-263MG
Esophagus,SIDM01024,KYSE-70
Skin,SIDM01079,SH-4
CNS,SIDM00542,D-392MG
Bone,SIDM00535,H-EMC-SS
CNS,SIDM00613,KALS-1
Pancreas,SIDM00571,KP-3
CNS,SIDM00555,KS-1
Lung,SIDM00345,LCLC-103H
PNS,SIDM00259,NB10
Lung,SIDM00722,NCI-H2452
Lung,SIDM00361,PC-3JPC-3
Cervix,SIDM00381,SKG-IIIA
Lung,SIDM00640,MSTO-211H
Skin,SIDM01228,CHL-1
CNS,SIDM01055,GAMG
Breast,SIDM00884,HCC1395
Breast,SIDM00135,HS-578-T
Endometrium,SIDM00335,MFE-280
Soft_tissue,SIDM00299,MFH-INO
Breast,SIDM00241,OCUB-M
PNS,SIDM01101,SK-N-AS
Lymphoid,SIDM01154,SUP-T1
Large_intestine,SIDM00488,CAR-1
Endometrium,SIDM00142,COLO-684
Bladder,SIDM00970,DSH1
Lymphoid,SIDM00793,EB-3
Ovary,SIDM00091,OVCAR-5
Pancreas,SIDM00469,PSN1
Liver,SIDM01180,SNU-387
Breast,SIDM00971,ZR-75-30
Bone,SIDM00848,A673
CNS,SIDM00490,BECKER
Bladder,SIDM00989,BFTC-905
Breast,SIDM00122,BT-549
Head_neck,SIDM00489,CA9-22
Kidney,SIDM00932,CAL-54
Bone,SIDM00203,EW-11
Stomach,SIDM00274,GCIY
Lung,SIDM00606,KNS-62
Lung,SIDM00649,NCI-H1299
Kidney,SIDM00803,769-P
Kidney,SIDM00123,ACHN
Head_neck,SIDM00485,BICR22
Lymphoid,SIDM00985,BL-41
Vulva,SIDM00935,CAL-39
Lung,SIDM00513,COR-L105
Lymphoid,SIDM00946,DND-41
Lymphoid,SIDM00277,EOL-1-CELL
Esophagus,SIDM01041,FLO-1
Liver,SIDM00064,HLE
Stomach,SIDM00687,KATOIII
Lymphoid,SIDM00346,LAMA-84
Breast,SIDM00146,MDA-MB-231
Esophagus,SIDM00530,KYAE-1
Lung,SIDM00748,NCI-H1581
Lymphoid,SIDM00410,YT
Lung,SIDM00711,NCI-H2066
Lymphoid,SIDM00363,P31-FUJ
Lung,SIDM00367,SBC-3
Liver,SIDM01194,SNU-449
Esophagus,SIDM01027,KYSE-450
Lung,SIDM00098,NCI-H2731
Esophagus,SIDM00483,SK-GT-4
Esophagus,SIDM00322,T-T
Large_intestine,SIDM01197,SNU-C1
Large_intestine,SIDM00282,CW-2
CNS,SIDM00888,D-283MED
Large_intestine,SIDM00783,HCT-116
Pancreas,SIDM00669,HPAF-II
Head_neck,SIDM00590,HSC-2
Skin,SIDM01066,IGR-37
Pancreas,SIDM00505,MIA-PACA-2
Bladder,SIDM00678,HT-1376
CNS,SIDM01220,LNZTA3WT4
Large_intestine,SIDM00680,LS-180
PNS,SIDM00244,NB69
Lung,SIDM00771,NCI-H1792
Lung,SIDM00727,NCI-H2342
Lung,SIDM01130,NCI-H520
Lung,SIDM01134,NCI-H841
Ovary,SIDM00466,OVKATE
PNS,SIDM01099,SK-N-FI
Soft_tissue,SIDM01161,SW982
Head_neck,SIDM00044,PCI-30
Head_neck,SIDM00351,SAS
Head_neck,SIDM01081,SCC-4
Uterus,SIDM00377,SKN
Thyroid,SIDM00931,CAL-62
Pancreas,SIDM00943,CAPAN-2
Lymphoid,SIDM00121,CCRF-CEM
Lung,SIDM00511,COR-L279
Lung,SIDM00521,COR-L95
Stomach,SIDM00280,ECC10
Lymphoid,SIDM00632,IM-9
Liver,SIDM00614,JHH-7
Stomach,SIDM00271,MKN1
Stomach,SIDM00247,MKN45
CNS,SIDM00504,MOG-G-UVW
Ovary,SIDM00465,OVMIU
Pancreas,SIDM01135,PANC-10-05
Large_intestine,SIDM00359,RCM-1
Lung,SIDM01078,SHP-77
Lymphoid,SIDM01198,ST486
Lung,SIDM01156,SW1271
Bladder,SIDM01182,UM-UC-3
Lymphoid,SIDM00412,WSU-NHL
Stomach,SIDM00045,HSC-39
Lymphoid,SIDM01010,KARPAS-299
Lung,SIDM00645,NCI-H1355
Ovary,SIDM01141,OV-90
Pancreas,SIDM01139,PANC-02-03
Lymphoid,SIDM01092,RF-48
Lung,SIDM01108,SK-LU-1
Skin,SIDM00082,SK-MEL-2
Esophagus,SIDM00249,TE-15
PNS,SIDM00324,TGW
Skin,SIDM00107,UACC-62
Prostate,SIDM01077,VCAP
Kidney,SIDM00317,VMRC-RCZ
Lymphoid,SIDM00446,OCI-AML2
Ovary,SIDM00969,DOV13
Lymphoid,SIDM00863,EB2
Bone,SIDM00195,EW-24
Lymphoid,SIDM00308,KU812
Large_intestine,SIDM00839,LOVO
Breast,SIDM00630,MDA-MB-415
Bone,SIDM00525,MG-63
Lung,SIDM00245,MS-1
PNS,SIDM00256,NB14
Lung,SIDM00720,NCI-H28
Kidney,SIDM00817,RCC-JW
Bone,SIDM01112,SJSA-1
Liver,SIDM01110,SK-HEP-1
Lymphoid,SIDM00416,VAL
Bone,SIDM00262,ES6
Lymphoid,SIDM00413,WSU-DLCL2
Lung,SIDM00143,COLO-668
Bone,SIDM00196,EW-22
Skin,SIDM00149,LOXIMVI
Large_intestine,SIDM00776,LS-123
Large_intestine,SIDM00677,LS-513
Lung,SIDM01126,NCI-H64
CNS,SIDM01097,SK-PN-DW
Uterus,SIDM01113,SK-UT-1
Lymphoid,SIDM00374,SLVL
Large_intestine,SIDM00832,SW948
CNS,SIDM01171,T98G
Lung,SIDM00320,VMRC-LCD
CNS,SIDM00316,YH-13
Skin,SIDM00225,IST-MEL1
Breast,SIDM00272,MDA-MB-453
Lung,SIDM00756,NCI-H2009
Lung,SIDM00718,NCI-H358
CNS,SIDM01155,SW1088
Adrenal,SIDM00814,SW13
Breast,SIDM01187,UACC-812
Lymphoid,SIDM00526,MEG-01
Breast,SIDM00938,CAL-148
Stomach,SIDM00503,FU97
Lung,SIDM00658,NCI-H1435
Lung,SIDM00753,NCI-H2023
Lymphoid,SIDM00576,NKM-1
Ovary,SIDM00079,SK-OV-3
Pancreas,SIDM01165,SW1990
Pancreas,SIDM00664,HS-766T
Lung,SIDM01129,NCI-H524
Lung,SIDM01133,NCI-H835
Ovary,SIDM00352,RMG-I
Liver,SIDM01199,SNU-423
Lymphoid,SIDM00424,U-698-M
Kidney,SIDM00113,TK10
Lymphoid,SIDM00145,MOLT-4
Ovary,SIDM01040,FU-OV-1
Lung,SIDM00139,NCI-H226
Lymphoid,SIDM00993,AMO-1
Stomach,SIDM01147,NCI-N87
Lymphoid,SIDM00429,NALM-6
Large_intestine,SIDM00834,SW1463
Breast,SIDM00633,MDA-MB-175-VII
Testis,SIDM00655,NCCIT
